id,stream,source,instrument,direction,confidence,reasoning,was_traded,rejection_reason,is_comparison,created_at
1,strategy,momentum,EUR_USD,long,0.093,"momentum: {'lookback_return': np.float64(0.01699), 'short_return': np.float64(-0.00213), 'combined_signal': np.float64(0.00934)}",0,Below confidence threshold (0.093 < 0.6),0,2026-03-19 07:31:27
2,strategy,momentum,GBP_USD,short,0.014,"momentum: {'lookback_return': np.float64(0.00312), 'short_return': np.float64(-0.00828), 'combined_signal': np.float64(-0.00144)}",0,Below confidence threshold (0.014 < 0.6),0,2026-03-19 07:31:27
3,strategy,momentum,USD_JPY,long,0.044,"momentum: {'lookback_return': np.float64(0.00942), 'short_return': np.float64(-0.00305), 'combined_signal': np.float64(0.00443)}",0,Below confidence threshold (0.044 < 0.6),0,2026-03-19 07:31:27
4,strategy,momentum,USD_CHF,long,0.104,"momentum: {'lookback_return': np.float64(0.01974), 'short_return': np.float64(-0.00351), 'combined_signal': np.float64(0.01044)}",0,Below confidence threshold (0.104 < 0.6),0,2026-03-19 07:31:27
5,strategy,momentum,AUD_USD,long,0.024,"momentum: {'lookback_return': np.float64(-0.00249), 'short_return': np.float64(0.00975), 'combined_signal': np.float64(0.0024)}",0,Below confidence threshold (0.024 < 0.6),0,2026-03-19 07:31:27
6,strategy,momentum,XAU_USD,short,0.022,"momentum: {'lookback_return': np.float64(-0.00507), 'short_return': np.float64(0.00207), 'combined_signal': np.float64(-0.00221)}",0,Below confidence threshold (0.022 < 0.6),0,2026-03-19 07:31:27
7,strategy,carry,EUR_USD,short,0.099,"carry: {'base_rate': 4.5, 'quote_rate': 5.25, 'differential': -0.75, 'vol_penalty': np.float64(0.051)}",0,Below confidence threshold (0.099 < 0.6),0,2026-03-19 07:31:27
8,strategy,carry,GBP_USD,neutral,0.0,"carry: {'base_rate': 5.25, 'quote_rate': 5.25, 'differential': 0.0, 'vol_penalty': np.float64(0.043)}",0,,0,2026-03-19 07:31:27
9,strategy,carry,USD_JPY,long,0.959,"carry: {'base_rate': 5.25, 'quote_rate': 0.1, 'differential': 5.15, 'vol_penalty': np.float64(0.041)}",1,,0,2026-03-19 07:31:27
10,strategy,carry,USD_CHF,long,0.64,"carry: {'base_rate': 5.25, 'quote_rate': 1.75, 'differential': 3.5, 'vol_penalty': np.float64(0.06)}",1,,0,2026-03-19 07:31:27
11,strategy,carry,AUD_USD,short,0.128,"carry: {'base_rate': 4.35, 'quote_rate': 5.25, 'differential': -0.9, 'vol_penalty': np.float64(0.052)}",0,Below confidence threshold (0.128 < 0.6),0,2026-03-19 07:31:27
12,strategy,carry,XAU_USD,neutral,0.0,carry: {'reason': 'No rate data for XAU or USD'},0,,0,2026-03-19 07:31:27
13,strategy,breakout,EUR_USD,neutral,0.0,"breakout: {'asian_high': np.float64(1.10466), 'asian_low': np.float64(1.09688), 'asian_range': np.float64(0.00779), 'buffer': 0.001}",0,,0,2026-03-19 07:31:27
